장소명,주소명,상세페이지
서울시민대학 동남권캠퍼스,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001574
스마트 구로 홍보관,서울특별시 구로구 새말로 지하117-21 (신도림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000195
은평구립도서관,서울특별시 은평구 통일로78가길 13-84 (불광동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000026
헬리오시티APT경로당,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002150
강서구립곰달래어르신복지센터,서울특별시 강서구 강서로5길 50 (화곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000088
자양한강도서관,서울특별시 광진구 뚝섬로52길 66 (자양동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000071
강동구립해공도서관,서울특별시 강동구 올림픽로 702 (천호동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000915
성현동주민센터(정보화교육장),서울특별시 관악구 구암길 38(봉천동 1712-9) 성현동주민센터 2층 정보화교육장,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000032
도봉동어르신복지관,서울특별시 도봉구 도봉로169가길 52 (도봉동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000065
구립갈현노인복지관,서울특별시 은평구 통일로89길 12-6 (갈현동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002395
금천 구청 교육장,서울특별시 금천구 시흥대로73길 70 (시흥동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000910
성산1동주민센터,서울특별시 마포구 성산로4길 15 (성산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002248
유한양행 교육장,서울특별시 동작구 노량진로 74 (대방동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002134
구립갈현노인복지관,서울특별시 은평구 통일로89길 12-6 (갈현동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000010
메리워드지역아동센터,"서울특별시 구로구 고척로 49 (오류동, 동부골든아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002395
중랑상봉도서관,서울특별시 중랑구 동일로114길 10 (상봉동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001088
창동주공19단지A 경로당,"서울특별시 도봉구 노해로70길 54 (창동, 주공19단지아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001127
시립강동노인종합복지관,서울특별시 강동구 동남로71길 32-5 (명일동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001070
송파복지센터,서울특별시 송파구 충민로 184 (장지동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002400
마포평생학습관 아현분관,서울특별시 마포구 마포대로 224 (아현동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002335
광진정보도서관,서울특별시 광진구 아차산로78길 90 (광장동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002494
모랫말어르신복지센터,서울특별시 영등포구 도영로 41 (도림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000083
서초구립양재종합사회복지관,서울특별시 서초구 남부순환로 2610 (양재동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000074
번동2단지 종합사회 복지관,"서울특별시 강북구 한천로105길 24 (번동, 번동2단지주공아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000087
번동2단지 종합사회 복지관,"서울특별시 강북구 한천로105길 24 (번동, 번동2단지주공아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000184
성동구청 5층 배움터교육장,서울특별시 성동구 고산자로 270 (행당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002133
장애여성 인력개발센터,서울특별시 강서구 화곡로 346 (화곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000076
고덕3단지 SH작은도서관,"서울특별시 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002324
시립발달장애인복지관,서울특별시 동작구 여의대방로20나길 39 (신대방동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001122
우리마포복지관,서울특별시 마포구 신촌로26길 10 (노고산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000084
청학경로당,서울특별시 도봉구 도당로13라길 104-4 (방학동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002571
강서노인종합복지관,서울특별시 강서구 화곡로61길 85 (등촌동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000691
서울노인복지센터,서울특별시 종로구 삼일대로 467 (경운동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000911
신월4동주민센터,서울특별시 양천구 오목로5길 34 (신월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000206
장위실버복지센터,서울특별시 성북구 한천로 708 장위어르신행복지원센터 3층,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000123
